Fly_ID,Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading,Asymmetry_l2,Asymmetry_l3p,Asymmetry_l3d,Asymmetry_lpd,Asymmetry_l3,Asymmetry_w1,Asymmetry_w2,Asymmetry_w3,Wing_area,Wing_shape,Wing_vein,Asymmetry_wing_area,Asymmetry_wing_shape,Asymmetry_wing_vein
1,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,1,1,female,1.238,2.017,0.659,1.711,2.37,2.37,1.032,1.441,1.192,1.914,0.072,0.018,0.028,0.047,0.047,0.016,0.031,0.031,1.223,2.296,2.597,0.043,0.01,0.028
2,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,1,1,male,1.113,1.811,0.609,1.539,2.148,2.146,0.938,1.299,1.066,1.928,0.003,0.003,0.019,0.017,0.015,0.001,0.004,0.004,1.006,2.289,2.528,0.006,0.018,0.044
3,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,1,2,female,1.215,1.985,0.648,1.671,2.319,2.319,0.991,1.396,1.142,1.908,0.01,0.022,0.034,0.012,0.013,0.028,0.011,0.047,1.149,2.34,2.58,0.039,0.053,0.14
4,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,1,2,male,1.123,1.713,0.596,1.495,2.091,2.088,0.958,1.286,1.062,1.860,0.009,0.018,0.001,0.019,0.02,0.006,0.002,0.011,1.0,2.18,2.508,0.016,0.007,0.074
5,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,2,1,female,1.218,1.938,0.641,1.658,2.298,2.298,1.01,1.418,1.148,1.886,0.024,0.019,0.015,0.004,0.005,0.0,0.027,0.011,1.16,2.275,2.589,0.003,0.005,0.1
6,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,2,1,male,1.104,1.794,0.585,1.525,2.11,2.107,0.919,1.285,1.046,1.909,0.008,0.013,0.009,0.022,0.022,0.008,0.021,0.009,0.968,2.293,2.604,0.019,0.004,0.042
7,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,2,2,male,1.127,1.833,0.596,1.558,2.154,2.152,0.952,1.311,1.089,1.909,0.007,0.006,0.005,0.001,0.0,0.013,0.005,0.022,1.025,2.259,2.613,0.014,0.031,0.035
8,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,2,3,male,1.102,1.774,0.568,1.492,2.059,2.058,0.923,1.277,1.065,1.867,0.026,0.019,0.006,0.012,0.013,0.023,0.01,0.008,0.949,2.231,2.63,0.03,0.042,0.099
9,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,1,female,1.214,2.002,0.657,1.689,2.346,2.345,1.002,1.421,1.146,1.932,0.055,0.015,0.027,0.041,0.042,0.026,0.042,0.021,1.175,2.34,2.572,0.052,0.019,0.018
10,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,1,male,1.115,1.773,0.601,1.504,2.105,2.105,0.919,1.271,1.048,1.888,0.03,0.011,0.018,0.006,0.005,0.023,0.042,0.03,0.967,2.292,2.501,0.026,0.052,0.076
11,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,2,female,1.154,1.857,0.629,1.59,2.218,2.218,0.966,1.348,1.096,1.921,0.024,0.0,0.025,0.025,0.025,0.01,0.013,0.024,1.071,2.296,2.527,0.001,0.05,0.04
12,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,2,male,1.155,1.751,0.575,1.507,2.083,2.082,0.957,1.308,1.07,1.803,0.038,0.042,0.031,0.01,0.01,0.03,0.021,0.01,0.996,2.176,2.626,0.026,0.079,0.246
13,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,3,female,1.239,1.974,0.651,1.68,2.33,2.328,1.025,1.438,1.154,1.879,0.021,0.025,0.003,0.029,0.029,0.01,0.013,0.005,1.193,2.271,2.583,0.026,0.006,0.095
14,D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,4,1,female,1.244,2.005,0.647,1.68,2.327,2.327,1.029,1.428,1.186,1.870,0.02,0.01,0.015,0.025,0.025,0.008,0.0,0.016,1.197,2.261,2.596,0.022,0.007,0.017
